run_id,ctx_size,prompt_used,index,filename,latency_sec,http_status,success,prompt_tokens,completion_tokens,finish_reason,truncated,repetition,coord_groups,content_shape,content,error
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,1,AAA_insurance_Bill.png,1.853,200,True,349.0,162.0,stop,False,False,0,PLAIN_TEXT_OR_OTHER,"Personal Umbrella Policy Number Bill Example
Payment coupon

Your Policy Number is PUP 054321234 Your Policy Term Is Jan 1 2020 to Jan 1 2021 PAT SMITH1234 MAIN ST SPRINGFIELD IL62704-8725 AAA Insurance PO BOX740860 CINCINNATI, OH45274-0860
Minimum Due: $12.20 
Due Apr8 2020 Total Amount Owed:$12.20 We must RECEIVE your total amount owed no later than Apr 8 2020.
Amount Paid:$
Insurance Bill Very Important Personal Umbrella Excess Liability Insurance Policy MemberSelect Insurance Company Installment
1 Auto Club Drive Dearborn, MI48126 POLICY NUMBER PUP054321234",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,2,All_State_Insurance_Card.jpg,0.514,200,True,427.0,8.0,stop,False,False,0,PLAIN_TEXT_OR_OTHER,<dir>0</dir>,
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,3,Auto_Insurance_Bill1.jpg,5.914,200,True,2437.0,95.0,stop,False,False,0,PLAIN_TEXT_OR_OTHER,"The text in the image is a detailed policy information page for an auto insurance declaration. It includes details about the policy number, effective date and expiration dates of the policy, insured individuals (Jack Smith as one example), address, city, underwriter's name, coverage type, deductible limit, limits per person or incident, vehicle information including year/make/model/vin, coverage information such as bodily injury, property damage, medical coverage, uninsured motorist bodily injury.",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,4,BOA_Bill_Example.png,6.149,200,True,1559.0,449.0,stop,False,False,0,DOC_PARSE_MD,"BankAmericard | Cash Rewards®
Visa Signature®

# Account Summary #

Previous Balance $3,956.38
Payments and Other Credits -$109.00
Purchases and Adjustments 628.58
Fees Charged $0.00
Interest Charged67.40


New Balance Total: $4,543.36  
Total Credit Line:$10,000.00  
Total Credit Available:5,456.64 
Cash Credit Line:7,000.00   
Portion of Credit Available for Cash  :$5,456.64   
Statement Closing Date:01/08/2018    
Days in Billing Cycle:31

# Payment Information #

New Balance Total $4,543.36  
Current Payment Due:$112.00  
Total Minimum Payment Due: $112.00   
Payment Due Date 02/05/2018



Late Paying Warning: If we do not receive your Total Minimum Payment by the date listed above,you may have to pay a late fee of up to$38.00 and your APRs may be increased upto the Penalty APDR of $29.99%  
Total Minumd PAYMENT Warning :If you make only thte Tntal Minitmud Payment each period, you will pay more in interest and it wil take younlonger to paf off your balance.For example:

| If you mak no additional charges using this card and each month you pay | You wll payoff the balance shown onthis statementin about  |
|---：|--|
| Only thte Total Minimum Payment |18 years   |10,476.00
||$165.00 ||36 months    $5,940.00 (Savings = $4,536.00)

If you would like information about credit counseling services,call8663005238.

BANK OF AMERICA  
P.O.BOX 851001   
DALLAS TX75285-1001

New Balance Total:  
$4,543.36  

Total Minimum Payment Due:$112.00   
Payment Due Date:02/05/2018",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,5,Bank_Bill_Due.png,4.388,200,True,1197.0,333.0,stop,False,False,0,DOC_PARSE_MD,"# BUILDING BLOCKS STUDENT HANDOUT Sample credit card statement

Name: Susan Doe  
Address: 1234 Main Street, Anytown, USA  
Account Number: 12345-67-8907  

## Payment Information 
Date: 12/30/XX  
Payment Due Date: 1/23/XX  
New Balance: $1392.71  
Minimum Payment: $25

| Account Summary | Payment Information |
|------------------|---------------------|
| Previous Balance | New Balance         |  
| Paymnet, Credits    | Payment Due Date     | 
|Purchases          | Minimum Payment Due  |  
|Cash Advances      |$0                  |   
|Balance Transfers  | $0                 |      
|Fees Charged       | $0                |
|Interest Charged   | $2.15               |

New Balance: $1,392.71

Opening/Closing Date  
11/27/XX -12/26/XX  

Credit Access Line  
$12,000  Available Credit 
Available for Cash   
$10,607.29 

Cash Access Line   
$2,000  
 
Available for Cash    
$2,000    

Past Due Amount    
$0

Balance Over the Credit Access Line     
$0


## Finance Charge Summary | Purchases| Advances  
---|---|-- 
  
Periodic Rate   1.65%        0.54%
Annual Percentage Rate (APR)19.80%|6.48%

BUILDING BLOCKS STUDENT HANDOUT Sample credit card statement  

Summer 2022",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,6,Bank_Bill_Example.jpg,4.582,200,True,819.0,455.0,stop,False,False,0,PLAIN_TEXT_OR_OTHER,"ETC BANK
Account Number 1000 0001 1000 0001 Regular Credit Limit P50,000

BERGL M. SBUCOL  23 January 2018    Statement Date Payment Due Date  
4 LIMOUSINE ST RANCHO ESTATE IV EAST PARK    1800 MARIKINA CITY
Total Amount Due PHP 50,000 Minimum Amount Due PHP 2,500 
Previous Balance         25,000.00 Plus Purchases/Debits Less Payments/Credits Total Amount Due  

TRANSACTION DETAILS  
Post Date Tran Date Description Previous BalanceAmount   
01/23/18    01/23/2018 BERGL M.SBUCOL-1000 0001 1000 0001     2,500.00   
01/22/18    12/21/17 INSTL 1/10 IPHONE X POWER MAC CENTER SM NORTH QUEZON CITY   5,800.00  
01/22/2018    12/21/1717 BERGL M.SBUCOL-46451 18921672001     12,000.00  
01/22/18    12/21/17 INSTL1 /3 SM NORTH AUTOMATIC CENTER QUEZON   
CITY       5,500.00  
01/23/2018    12/21/1717 BERGL M.SBUCOL-1000 0001 1000 0001     6,600.00  
01/22/18    12/21/17 INSTL NORTH HYPERMARKET QUEZON CITY   5,500.00  
01/16/2018    11/15/1717 BERGL M.SBUCOL-1000 0001 1000 0001     3,300.00  
01/14/18    12/21/17 INSTL NORTH HYPERMARKET QUEZON CITY   
CASH PAYMENT - THANK YOU ETC BANK TOTAL AMOUNT DUE PHP 50,000

END OF STATEMENT",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,7,CMS_EOB.png,5.93,200,True,971.0,625.0,stop,False,False,0,DOC_PARSE_MD,"# EXPLANATION OF BENEFITS

## 1 Customer Service Number:
- **Customer Name:** (Not provided in the image)
- **Address:**
    - City, State, Zip:
        - Example: ""New York, NY 10001""
        - Note: The address is not filled out here. You should fill it with your actual location details.

## Statement Date and Document Number
- **Statement Date:** (Not provided in the image)
- **Document Number:**
    - Example: ""XXXXX-XXXXX""

## THIS IS NOT A BILL

### 2 ID:
- **ID:** XXXXXX

### Subscriber Name
- **Subscriber Name:**

### Provider Information
#### Patient Name and Date Received
- **Patient Name:** (Not provided in the image)
- **Date Received:**
    - Example: ""XXXXXX-XXXXX""

#### Provider Type
- **Provider Type**

#### Payee Identification Number
- **Payee ID:** XXXXXX

## Claim Details Section 3. Service Description:
This section describes how health services were received, such as a medical visit, lab test, or screening.

### 4 Provider Charges: What Your Provider Can Charge You (Section 5)
The provider charges are the amount your provider bills for their visit.
- **Provider Bill Amount:** $31.60
- **Allowed Charges:**
    - Co Pay ($0.00) / Deductible ($0.00)

### Claim Details Section 4: What Your Provider Can Charge You (Section 5)
This section describes how health services were received, such as a medical visit or lab test.

#### Line No.
1
- **Line Number:** 3/20/22 - 3/20/22

#### Date of Service and Description
- **Date of Service:**
    - Example: ""Medical care""
- **Service Description:**

### Claim Details Section 4 (Section 5)
This section describes how health services were received, such as a medical visit or lab test. It also includes the total amount charged for that service.

#### Claim Status and Provider Charges
- **Claim Status:** Paid

#### Allowed Charges: Co Pay ($0) / Deductible ($0)

### Your Responsibility Section 6 (Total Claim Cost)
This section summarizes all charges associated with your visit. It includes the total amount charged for that service.

| Line No | Date of Service       | Provider Charge Amount |
|---|------------------------|-------------------------|
|    1   | Medical care           | $31.60                  |

#### Your Responsibility Section 6 (Total Claim Cost)
This section summarizes all charges associated with your visit.
- **Co Pay:** ($0) / Deductible: ($0)

### Total Claim Cost
- **Paid by Insurer:**
    - Example: ""PDC""
- **What You Owe:**
    - $2.15 (Total Paid)
    - $35.00 (Deducted from Co Pay, which is not filled out here)",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,8,Chase_Bank_Bill_Example.webp,4.278,200,True,819.0,337.0,stop,False,False,0,PLAIN_TEXT_OR_OTHER,"CHASE
JPMorgan Chase Bank, N.A. PO Box 059754 San Antonio TX 78265-9754

CUSTOMER SERVICE INFORMATION Web site:chase.com Service Center:1-800-242-7338 Hearing Impaired:1-800-242-7383 Para Español:1-888-622-4273 International Calls:1-713-262-1679
Debbie Anita Walsh 65 S. Michigan Ave HOWELL MI, 48843

CHECKING SUMMARY Chase Business Select Checking Beginning Balance Deposits and Additions INSTANCES AMOUNT $15,050.80 2 130.00 Electronic Withdrawals -356.04 Ending Balance 4 $14,824.76
Your monthly service fee was waived because you maintained an average checking balance of$7,500.00 or a minimum checking balance of $5,000.00 more during the statement period.

DEPOSIT AND ADDITIONS DATE DESCRIPTION AMOUNT Date Description02/15 ATM Check Deposit 2/15 ATM Cash Deposit Total Deposits and Additions $130.00
DEPOSIT AND ADDITIONS DATE DESCRIPTION AMOUNT DateDescription: Qwest8002441111Telephone2063864199818CCID ID :9Qc027380102/28Qwest8002441111 Telefonie 20B3654528111 CCID I0 - 90C327381 Total Electronic Withdrawals $356.04
DAILY ENDING BALANCE DATE AMOUNT Date02/15$15,180.8002/2814,824.76",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,9,Chase_Bank_Bill_Example2.webp,3.713,200,True,819.0,353.0,stop,False,False,0,PLAIN_TEXT_OR_OTHER,"CHASE
JPMorgan Chase Bank N.A.  Ohio/West Virginia Markets P O Box 260180 Baton Rouge, LA 70826-0180

CUSTOMER SERVICE INFORMATION 
WebSite: www.Chase.com Service Center:1-800-935-9935 Hearing Impaired: 1-800-242-7383 Para Español: 1-877-312-4273 International Calls:  1-713-262-1679

00013422 DDA001LA10205-YYNT10000000O7 OOO0
Company Name Company Address State Zip 
CHECKING SUMMARY  
Beginning Balance INSTANCES AMOUNT   
Deposits and Additions 10 $81,607.40   
Checks Paid  2    125,883.63    
Other Withdrawals Fees & Charges     4 -15,025.68 Ending Balance      16$189,296.31

This message confirms that you have overdraft protection on your checking account.

DEPOSITS AND ADDITIONS
DATE DESCRIPTION AMOUNT   
07/02 Deposit $17 120.00   
07/09 Deposit  24 610.00    
07/14 Deposit     11 424.00    
07/15 Deposit      1 349.00     
07/21 Deposit       5 000.00      
07/29 Deposit        3 120.00   
07/26 Deposit         33 138.00   
07/08 Deposit          18 114.00    
07/30 Deposit           6 908.63    
07/09 Deposit            5 100.00

Total Deposits and Additions $125,883.31",
run01_spotting_ctx8192,8192,检测并识别图片中的文字，将文本坐标格式化输出。,10,Coverage_Care_Insurance_Card.png,1.503,200,True,577.0,119.0,stop,False,False,0,PLAIN_TEXT_OR_OTHER,"<trans>
Insurance Company
Member Name: Jane Doe 1 
Plan Type:134  6  
 Member Number：XXX XXX XXXXX   2   
Group Number :XXX XXX XXXXX3    3    
PCP Copay：$15.00     4     
Prescription Group # ：123456789      7       
 Specialist Copay:$25.00       
Emergency Room Copay $ 25.00 
Member Service:800 XXX XXXX  5  
 Prescription Copay：$15.00 Generic   
 Member Service :$25.00 Name brand</trans>",
